id,book_title,book_author,book_title_norm,book_author_norm,trademe_categories,shopify_tags
159,A Field Guide to Tm_Nf_Crafts_Other [159],Riley Hayes,a field guide to tm nf crafts other 159,riley hayes,Books → Non-fiction → Crafts → Other,"[""tm_nf_crafts_other""]"
160,Pottery & ceramics: A Practical Guide [160],Taylor Clark,pottery ceramics a practical guide 160,taylor clark,Books → Non-fiction → Crafts → Pottery & ceramics,"[""tm_nf_crafts_pottery_ceramics""]"
161,Sewing & textiles in Context [161],Morgan Hughes,sewing textiles in context 161,morgan hughes,Books → Non-fiction → Crafts → Sewing & textiles,"[""tm_nf_crafts_sewing_textiles""]"
162,Modern Toy making [162],Sam Evans,modern toy making 162,sam evans,Books → Non-fiction → Crafts → Toy making,"[""tm_nf_crafts_toy_making""]"
163,Flora & fauna in Context [163],Taylor Brooks,flora fauna in context 163,taylor brooks,Books → Non-fiction → Flora & fauna,"[""tm_nf_flora_fauna""]"
164,Understanding Genealogy [164],Logan Hughes,understanding genealogy 164,logan hughes,Books → Non-fiction → Genealogy,"[""tm_nf_genealogy""]"
165,Beauty & fashion: Methods and Insights [165],Logan Scott,beauty fashion methods and insights 165,logan scott,Books → Non-fiction → Health & lifestyle → Beauty & fashion,"[""tm_nf_health_lifestyle_beauty_fashion""]"
166,A Field Guide to Death & grief [166],Bailey Brooks,a field guide to death grief 166,bailey brooks,Books → Non-fiction → Health & lifestyle → Death & grief,"[""tm_nf_health_lifestyle_death_grief""]"
167,Understanding Diet [167],Skyler Brooks,understanding diet 167,skyler brooks,Books → Non-fiction → Health & lifestyle → Diet,"[""tm_nf_health_lifestyle_diet""]"
168,Foundations of Disorders & diseases [168],Riley Fletcher,foundations of disorders diseases 168,riley fletcher,Books → Non-fiction → Health & lifestyle → Disorders & diseases,"[""tm_nf_health_lifestyle_disorders_diseases""]"
169,Modern Fitness & exercise [169],Riley Fletcher,modern fitness exercise 169,riley fletcher,Books → Non-fiction → Health & lifestyle → Fitness & exercise,"[""tm_nf_health_lifestyle_fitness_exercise""]"
170,Modern Massage & meditation [170],Jordan Bishop,modern massage meditation 170,jordan bishop,Books → Non-fiction → Health & lifestyle → Massage & meditation,"[""tm_nf_health_lifestyle_massage_meditation""]"
171,Mens health in Context [171],Chris Walsh,mens health in context 171,chris walsh,Books → Non-fiction → Health & lifestyle → Mens health,"[""tm_nf_health_lifestyle_mens_health""]"
172,Mental health: Methods and Insights [172],Bailey Rowan,mental health methods and insights 172,bailey rowan,Books → Non-fiction → Health & lifestyle → Mental health,"[""tm_nf_health_lifestyle_mental_health""]"
173,Understanding Natural healing [173],Casey Stewart,understanding natural healing 173,casey stewart,Books → Non-fiction → Health & lifestyle → Natural healing,"[""tm_nf_health_lifestyle_natural_healing""]"
174,A Field Guide to Tm_Nf_Health_Lifestyle_Other [174],Casey Campbell,a field guide to tm nf health lifestyle other 174,casey campbell,Books → Non-fiction → Health & lifestyle → Other,"[""tm_nf_health_lifestyle_other""]"
175,The Complete Parenting Handbook [175],Harper Clark,the complete parenting handbook 175,harper clark,Books → Non-fiction → Health & lifestyle → Parenting,"[""tm_nf_health_lifestyle_parenting""]"
176,Pregnancy & baby: Methods and Insights [176],Bailey Brooks,pregnancy baby methods and insights 176,bailey brooks,Books → Non-fiction → Health & lifestyle → Pregnancy & baby,"[""tm_nf_health_lifestyle_pregnancy_baby""]"
177,A Field Guide to Recovery [177],Sam Campbell,a field guide to recovery 177,sam campbell,Books → Non-fiction → Health & lifestyle → Recovery,"[""tm_nf_health_lifestyle_recovery""]"
178,A Field Guide to Relationships [178],Quinn Walker,a field guide to relationships 178,quinn walker,Books → Non-fiction → Health & lifestyle → Relationships,"[""tm_nf_health_lifestyle_relationships""]"
179,Safety & first aid: A Practical Guide [179],Cameron Mitchell,safety first aid a practical guide 179,cameron mitchell,Books → Non-fiction → Health & lifestyle → Safety & first aid,"[""tm_nf_health_lifestyle_safety_first_aid""]"
180,Modern Sexual health & wellbeing [180],Alex Turner,modern sexual health wellbeing 180,alex turner,Books → Non-fiction → Health & lifestyle → Sexual health & wellbeing,"[""tm_nf_health_lifestyle_sexual_health_wellbeing""]"
181,Foundations of Women's health [181],Quinn Clark,foundations of women s health 181,quinn clark,Books → Non-fiction → Health & lifestyle → Women's health,"[""tm_nf_health_lifestyle_womens_health""]"
182,Ancient in Context [182],Skyler Stewart,ancient in context 182,skyler stewart,Books → Non-fiction → History → Ancient,"[""tm_nf_history_ancient""]"
183,Foundations of Asia [183],Harper Foster,foundations of asia 183,harper foster,Books → Non-fiction → History → Asia,"[""tm_nf_history_asia""]"
184,Australia: A Practical Guide [184],Quinn Walsh,australia a practical guide 184,quinn walsh,Books → Non-fiction → History → Australia,"[""tm_nf_history_australia""]"
185,A Field Guide to Britain [185],Morgan Brooks,a field guide to britain 185,morgan brooks,Books → Non-fiction → History → Britain,"[""tm_nf_history_britain""]"
186,Understanding Europe [186],Parker Evans,understanding europe 186,parker evans,Books → Non-fiction → History → Europe,"[""tm_nf_history_europe""]"
187,New Zealand: A Practical Guide [187],Quinn Walker,new zealand a practical guide 187,quinn walker,Books → Non-fiction → History → New Zealand,"[""tm_nf_history_new_zealand""]"
188,Tm_Nf_History_Other: A Practical Guide [188],Jordan Clark,tm nf history other a practical guide 188,jordan clark,Books → Non-fiction → History → Other,"[""tm_nf_history_other""]"
189,Understanding The Americas [189],Logan Reid,understanding the americas 189,logan reid,Books → Non-fiction → History → The Americas,"[""tm_nf_history_the_americas""]"
190,World: A Practical Guide [190],Chris Mitchell,world a practical guide 190,chris mitchell,Books → Non-fiction → History → World,"[""tm_nf_history_world""]"
191,Hobbies & games: Methods and Insights [191],Jamie Brooks,hobbies games methods and insights 191,jamie brooks,Books → Non-fiction → Hobbies & games,"[""tm_nf_hobbies_games""]"
192,Herb & vegetable gardening: Methods and Insights [192],Drew Mitchell,herb vegetable gardening methods and insights 192,drew mitchell,Books → Non-fiction → Home & garden → Herb & vegetable gardening,"[""tm_nf_home_garden_herb_vegetable_gardening""]"
193,Foundations of Home decorating & interior design [193],Harper Fletcher,foundations of home decorating interior design 193,harper fletcher,Books → Non-fiction → Home & garden → Home decorating & interior design,"[""tm_nf_home_garden_home_decorating_interior_design""]"
194,The Complete Home improvements Handbook [194],Skyler Bennett,the complete home improvements handbook 194,skyler bennett,Books → Non-fiction → Home & garden → Home improvements,"[""tm_nf_home_garden_home_improvements""]"
195,Indoor plants: A Practical Guide [195],Avery Stewart,indoor plants a practical guide 195,avery stewart,Books → Non-fiction → Home & garden → Indoor plants,"[""tm_nf_home_garden_indoor_plants""]"
196,The Complete Tm_Nf_Home_Garden_Other Handbook [196],Sam Bennett,the complete tm nf home garden other handbook 196,sam bennett,Books → Non-fiction → Home & garden → Other,"[""tm_nf_home_garden_other""]"
197,Other gardening in Context [197],Jamie Bennett,other gardening in context 197,jamie bennett,Books → Non-fiction → Home & garden → Other gardening,"[""tm_nf_home_garden_other_gardening""]"
198,Understanding Roses [198],Riley Hayes,understanding roses 198,riley hayes,Books → Non-fiction → Home & garden → Roses,"[""tm_nf_home_garden_roses""]"
199,Modern Trees & shrubs [199],Taylor Walker,modern trees shrubs 199,taylor walker,Books → Non-fiction → Home & garden → Trees & shrubs,"[""tm_nf_home_garden_trees_shrubs""]"
200,Humour in Context [200],Logan Fletcher,humour in context 200,logan fletcher,Books → Non-fiction → Humour,"[""tm_nf_humour""]"
201,Movies & TV: Methods and Insights [201],Morgan Scott,movies tv methods and insights 201,morgan scott,Books → Non-fiction → Movies & TV,"[""tm_nf_movies_tv""]"
202,The Complete Guides & educational Handbook [202],Morgan Bishop,the complete guides educational handbook 202,morgan bishop,Books → Non-fiction → Music → Guides & educational,"[""tm_nf_music_guides_educational""]"
203,The Complete Musicians & groups Handbook [203],Cameron Bennett,the complete musicians groups handbook 203,cameron bennett,Books → Non-fiction → Music → Musicians & groups,"[""tm_nf_music_musicians_groups""]"
204,Foundations of Tm_Nf_Music_Other [204],Cameron Mitchell,foundations of tm nf music other 204,cameron mitchell,Books → Non-fiction → Music → Other,"[""tm_nf_music_other""]"
205,A Field Guide to New Zealand [205],Jamie Rowan,a field guide to new zealand 205,jamie rowan,Books → Non-fiction → New Zealand,"[""tm_nf_new_zealand""]"
206,Tm_Nf_Other in Context [206],Taylor Bishop,tm nf other in context 206,taylor bishop,Books → Non-fiction → Other,"[""tm_nf_other""]"
207,The Complete Birds Handbook [207],Cameron Carter,the complete birds handbook 207,cameron carter,Books → Non-fiction → Pets → Birds,"[""tm_nf_pets_birds""]"
208,Cats: Methods and Insights [208],Bailey Clark,cats methods and insights 208,bailey clark,Books → Non-fiction → Pets → Cats,"[""tm_nf_pets_cats""]"
209,Dogs: Methods and Insights [209],Jordan Hughes,dogs methods and insights 209,jordan hughes,Books → Non-fiction → Pets → Dogs,"[""tm_nf_pets_dogs""]"
210,Fish: Methods and Insights [210],Alex Clark,fish methods and insights 210,alex clark,Books → Non-fiction → Pets → Fish,"[""tm_nf_pets_fish""]"
211,Modern Horses [211],Taylor Clark,modern horses 211,taylor clark,Books → Non-fiction → Pets → Horses,"[""tm_nf_pets_horses""]"
212,Tm_Nf_Pets_Other: Methods and Insights [212],Logan Hayes,tm nf pets other methods and insights 212,logan hayes,Books → Non-fiction → Pets → Other,"[""tm_nf_pets_other""]"
213,A Field Guide to Philosophy [213],Morgan Hughes,a field guide to philosophy 213,morgan hughes,Books → Non-fiction → Philosophy,"[""tm_nf_philosophy""]"
214,Foundations of Politics & social commentary [214],Parker Evans,foundations of politics social commentary 214,parker evans,Books → Non-fiction → Politics & social commentary,"[""tm_nf_politics_social_commentary""]"
215,Modern Psychology [215],Logan Clark,modern psychology 215,logan clark,Books → Non-fiction → Psychology,"[""tm_nf_psychology""]"
216,Foundations of Atlases [216],Drew Stewart,foundations of atlases 216,drew stewart,Books → Non-fiction → Reference → Atlases,"[""tm_nf_reference_atlases""]"
217,The Complete Dictionaries & thesauruses Handbook [217],Chris Brooks,the complete dictionaries thesauruses handbook 217,chris brooks,Books → Non-fiction → Reference → Dictionaries & thesauruses,"[""tm_nf_reference_dictionaries_thesauruses""]"
218,Encyclopedias in Context [218],Logan Walker,encyclopedias in context 218,logan walker,Books → Non-fiction → Reference → Encyclopedias,"[""tm_nf_reference_encyclopedias""]"
219,A Field Guide to Tm_Nf_Reference_Other [219],Drew Bennett,a field guide to tm nf reference other 219,drew bennett,Books → Non-fiction → Reference → Other,"[""tm_nf_reference_other""]"
220,Modern World record books [220],Drew Reid,modern world record books 220,drew reid,Books → Non-fiction → Reference → World record books,"[""tm_nf_reference_world_record_books""]"
221,Modern Bibles [221],Jamie Turner,modern bibles 221,jamie turner,Books → Non-fiction → Religion & spirituality → Bibles,"[""tm_nf_religion_spirituality_bibles""]"
222,Foundations of Christianity [222],Drew Fletcher,foundations of christianity 222,drew fletcher,Books → Non-fiction → Religion & spirituality → Christianity,"[""tm_nf_religion_spirituality_christianity""]"
223,Foundations of Discussion & critical thinking [223],Bailey Bennett,foundations of discussion critical thinking 223,bailey bennett,Books → Non-fiction → Religion & spirituality → Discussion & critical thinking,"[""tm_nf_religion_spirituality_discussion_critical_thinking""]"
224,Islam in Context [224],Jordan Stewart,islam in context 224,jordan stewart,Books → Non-fiction → Religion & spirituality → Islam,"[""tm_nf_religion_spirituality_islam""]"
225,A Field Guide to New age [225],Skyler Evans,a field guide to new age 225,skyler evans,Books → Non-fiction → Religion & spirituality → New age,"[""tm_nf_religion_spirituality_new_age""]"
226,Tm_Nf_Religion_Spirituality_Other in Context [226],Skyler Foster,tm nf religion spirituality other in context 226,skyler foster,Books → Non-fiction → Religion & spirituality → Other,"[""tm_nf_religion_spirituality_other""]"
227,Modern Biology [227],Alex Rowan,modern biology 227,alex rowan,Books → Non-fiction → Science & medical → Biology,"[""tm_nf_science_medical_biology""]"
228,Foundations of Chemistry [228],Riley Mitchell,foundations of chemistry 228,riley mitchell,Books → Non-fiction → Science & medical → Chemistry,"[""tm_nf_science_medical_chemistry""]"
229,Earth in Context [229],Robin Walker,earth in context 229,robin walker,Books → Non-fiction → Science & medical → Earth,"[""tm_nf_science_medical_earth""]"
230,Ecology: Methods and Insights [230],Skyler Evans,ecology methods and insights 230,skyler evans,Books → Non-fiction → Science & medical → Ecology,"[""tm_nf_science_medical_ecology""]"
231,Tm_Nf_Science_Medical_Other: Methods and Insights [231],Harper Evans,tm nf science medical other methods and insights 231,harper evans,Books → Non-fiction → Science & medical → Other,"[""tm_nf_science_medical_other""]"
232,Physics: Methods and Insights [232],Avery Brooks,physics methods and insights 232,avery brooks,Books → Non-fiction → Science & medical → Physics,"[""tm_nf_science_medical_physics""]"
233,Foundations of Space & astronomy [233],Robin Fletcher,foundations of space astronomy 233,robin fletcher,Books → Non-fiction → Science & medical → Space & astronomy,"[""tm_nf_science_medical_space_astronomy""]"
234,Female specific in Context [234],Taylor Campbell,female specific in context 234,taylor campbell,Books → Non-fiction → Self-help → Female specific,"[""tm_nf_self_help_female_specific""]"
235,Life coaching: Methods and Insights [235],Taylor Evans,life coaching methods and insights 235,taylor evans,Books → Non-fiction → Self-help → Life coaching,"[""tm_nf_self_help_life_coaching""]"
236,Understanding Male specific [236],Jamie Campbell,understanding male specific 236,jamie campbell,Books → Non-fiction → Self-help → Male specific,"[""tm_nf_self_help_male_specific""]"
237,Modern Money [237],Chris Walker,modern money 237,chris walker,Books → Non-fiction → Self-help → Money,"[""tm_nf_self_help_money""]"
238,Foundations of Tm_Nf_Self_Help_Other [238],Taylor Campbell,foundations of tm nf self help other 238,taylor campbell,Books → Non-fiction → Self-help → Other,"[""tm_nf_self_help_other""]"
239,Foundations of Relationships [239],Riley Turner,foundations of relationships 239,riley turner,Books → Non-fiction → Self-help → Relationships,"[""tm_nf_self_help_relationships""]"
240,Understanding Basketball [240],Robin Bennett,understanding basketball 240,robin bennett,Books → Non-fiction → Sport → Basketball,"[""tm_nf_sport_basketball""]"
241,"Understanding Climbing, hiking & tramping [241]",Chris Carter,understanding climbing hiking tramping 241,chris carter,"Books → Non-fiction → Sport → Climbing, hiking & tramping","[""tm_nf_sport_climbing_hiking_tramping""]"
242,Cricket: A Practical Guide [242],Bailey Bishop,cricket a practical guide 242,bailey bishop,Books → Non-fiction → Sport → Cricket,"[""tm_nf_sport_cricket""]"
243,Understanding Cycling [243],Skyler Sinclair,understanding cycling 243,skyler sinclair,Books → Non-fiction → Sport → Cycling,"[""tm_nf_sport_cycling""]"
244,Diving & scuba: A Practical Guide [244],Cameron Bishop,diving scuba a practical guide 244,cameron bishop,Books → Non-fiction → Sport → Diving & scuba,"[""tm_nf_sport_diving_scuba""]"
245,Modern Equestrian [245],Skyler Brooks,modern equestrian 245,skyler brooks,Books → Non-fiction → Sport → Equestrian,"[""tm_nf_sport_equestrian""]"
246,Fishing: Methods and Insights [246],Morgan Carter,fishing methods and insights 246,morgan carter,Books → Non-fiction → Sport → Fishing,"[""tm_nf_sport_fishing""]"
247,Foundations of Golf [247],Skyler Sinclair,foundations of golf 247,skyler sinclair,Books → Non-fiction → Sport → Golf,"[""tm_nf_sport_golf""]"
248,The Complete Hunting & shooting Handbook [248],Quinn Foster,the complete hunting shooting handbook 248,quinn foster,Books → Non-fiction → Sport → Hunting & shooting,"[""tm_nf_sport_hunting_shooting""]"
249,"The Complete Kayaking, canoeing & rowing Handbook [249]",Cameron Carter,the complete kayaking canoeing rowing handbook 249,cameron carter,"Books → Non-fiction → Sport → Kayaking, canoeing & rowing","[""tm_nf_sport_kayaking_canoeing_rowing""]"
250,Understanding Martial arts [250],Casey Walker,understanding martial arts 250,casey walker,Books → Non-fiction → Sport → Martial arts,"[""tm_nf_sport_martial_arts""]"
251,Foundations of Motorsport [251],Jordan Stewart,foundations of motorsport 251,jordan stewart,Books → Non-fiction → Sport → Motorsport,"[""tm_nf_sport_motorsport""]"
252,The Complete Tm_Nf_Sport_Other Handbook [252],Bailey Clark,the complete tm nf sport other handbook 252,bailey clark,Books → Non-fiction → Sport → Other,"[""tm_nf_sport_other""]"
253,Racquet sports in Context [253],Elliot Mitchell,racquet sports in context 253,elliot mitchell,Books → Non-fiction → Sport → Racquet sports,"[""tm_nf_sport_racquet_sports""]"
254,Modern Rugby [254],Logan Bishop,modern rugby 254,logan bishop,Books → Non-fiction → Sport → Rugby,"[""tm_nf_sport_rugby""]"
255,A Field Guide to Running [255],Robin Walker,a field guide to running 255,robin walker,Books → Non-fiction → Sport → Running,"[""tm_nf_sport_running""]"
256,Sailing: A Practical Guide [256],Parker Sinclair,sailing a practical guide 256,parker sinclair,Books → Non-fiction → Sport → Sailing,"[""tm_nf_sport_sailing""]"
257,Snow sports in Context [257],Jamie Fletcher,snow sports in context 257,jamie fletcher,Books → Non-fiction → Sport → Snow sports,"[""tm_nf_sport_snow_sports""]"
258,The Complete Soccer Handbook [258],Morgan Stewart,the complete soccer handbook 258,morgan stewart,Books → Non-fiction → Sport → Soccer,"[""tm_nf_sport_soccer""]"
259,Understanding Surfing [259],Bailey Rowan,understanding surfing 259,bailey rowan,Books → Non-fiction → Sport → Surfing,"[""tm_nf_sport_surfing""]"
260,Understanding Swimming [260],Alex Clark,understanding swimming 260,alex clark,Books → Non-fiction → Sport → Swimming,"[""tm_nf_sport_swimming""]"
261,Modern Technology & engineering [261],Parker Foster,modern technology engineering 261,parker foster,Books → Non-fiction → Technology & engineering,"[""tm_nf_technology_engineering""]"
262,Foundations of Aviation [262],Sam Stewart,foundations of aviation 262,sam stewart,Books → Non-fiction → Transport → Aviation,"[""tm_nf_transport_aviation""]"
263,Foundations of Bikes [263],Robin Brooks,foundations of bikes 263,robin brooks,Books → Non-fiction → Transport → Bikes,"[""tm_nf_transport_bikes""]"
264,The Complete Cars Handbook [264],Riley Fletcher,the complete cars handbook 264,riley fletcher,Books → Non-fiction → Transport → Cars,"[""tm_nf_transport_cars""]"
265,Marine in Context [265],Harper Sinclair,marine in context 265,harper sinclair,Books → Non-fiction → Transport → Marine,"[""tm_nf_transport_marine""]"
266,Tm_Nf_Transport_Other in Context [266],Casey Fletcher,tm nf transport other in context 266,casey fletcher,Books → Non-fiction → Transport → Other,"[""tm_nf_transport_other""]"
267,Understanding Rail [267],Jordan Carter,understanding rail 267,jordan carter,Books → Non-fiction → Transport → Rail,"[""tm_nf_transport_rail""]"
268,Understanding Trucks [268],Robin Scott,understanding trucks 268,robin scott,Books → Non-fiction → Transport → Trucks,"[""tm_nf_transport_trucks""]"
269,Foundations of Africa [269],Logan Sinclair,foundations of africa 269,logan sinclair,Books → Non-fiction → Travel → Africa,"[""tm_nf_travel_africa""]"
270,Modern Asia [270],Robin Mitchell,modern asia 270,robin mitchell,Books → Non-fiction → Travel → Asia,"[""tm_nf_travel_asia""]"
271,Foundations of Australia [271],Elliot Evans,foundations of australia 271,elliot evans,Books → Non-fiction → Travel → Australia,"[""tm_nf_travel_australia""]"
272,Modern Central & South America [272],Logan Rowan,modern central south america 272,logan rowan,Books → Non-fiction → Travel → Central & South America,"[""tm_nf_travel_central_south_america""]"
273,Europe: A Practical Guide [273],Harper Walsh,europe a practical guide 273,harper walsh,Books → Non-fiction → Travel → Europe,"[""tm_nf_travel_europe""]"
274,Foundations of New Zealand [274],Alex Rowan,foundations of new zealand 274,alex rowan,Books → Non-fiction → Travel → New Zealand,"[""tm_nf_travel_new_zealand""]"
275,North America in Context [275],Cameron Walker,north america in context 275,cameron walker,Books → Non-fiction → Travel → North America,"[""tm_nf_travel_north_america""]"
276,Tm_Nf_Travel_Other: A Practical Guide [276],Chris Walker,tm nf travel other a practical guide 276,chris walker,Books → Non-fiction → Travel → Other,"[""tm_nf_travel_other""]"
277,Pacific Islands: A Practical Guide [277],Morgan Foster,pacific islands a practical guide 277,morgan foster,Books → Non-fiction → Travel → Pacific Islands,"[""tm_nf_travel_pacific_islands""]"
278,Modern True crime [278],Chris Reid,modern true crime 278,chris reid,Books → Non-fiction → True crime,"[""tm_nf_true_crime""]"
279,A Field Guide to Tm_Nf_War_Military_Other [279],Skyler Rowan,a field guide to tm nf war military other 279,skyler rowan,Books → Non-fiction → War & military → Other,"[""tm_nf_war_military_other""]"
280,Modern World War I [280],Avery Clark,modern world war i 280,avery clark,Books → Non-fiction → War & military → World War I,"[""tm_nf_war_military_world_war_i""]"
281,World War II: Methods and Insights [281],Drew Sinclair,world war ii methods and insights 281,drew sinclair,Books → Non-fiction → War & military → World War II,"[""tm_nf_war_military_world_war_ii""]"
282,Understanding Wine & drink [282],Drew Clark,understanding wine drink 282,drew clark,Books → Non-fiction → Wine & drink,"[""tm_nf_wine_drink""]"
283,Modern 1950 - today [283],Robin Mitchell,modern 1950 today 283,robin mitchell,Books → Rare & collectable → Annuals → 1950 - today,"[""tm_rc_annuals_1950_today""]"
284,Pre 1950: A Practical Guide [284],Logan Rowan,pre 1950 a practical guide 284,logan rowan,Books → Rare & collectable → Annuals → Pre 1950,"[""tm_rc_annuals_pre_1950""]"
285,First editions: Methods and Insights [285],Chris Walsh,first editions methods and insights 285,chris walsh,Books → Rare & collectable → First editions,"[""tm_rc_first_editions""]"
286,The Complete Art Handbook [286],Quinn Hughes,the complete art handbook 286,quinn hughes,Books → Rare & collectable → NZ published → Art,"[""tm_rc_nz_published_art""]"
287,Biography: A Practical Guide [287],Bailey Brooks,biography a practical guide 287,bailey brooks,Books → Rare & collectable → NZ published → Biography,"[""tm_rc_nz_published_biography""]"
288,A Field Guide to History [288],Sam Campbell,a field guide to history 288,sam campbell,Books → Rare & collectable → NZ published → History,"[""tm_rc_nz_published_history""]"
289,Tm_Rc_Nz_Published_Other: Methods and Insights [289],Parker Foster,tm rc nz published other methods and insights 289,parker foster,Books → Rare & collectable → NZ published → Other,"[""tm_rc_nz_published_other""]"
290,Modern Sport [290],Sam Campbell,modern sport 290,sam campbell,Books → Rare & collectable → NZ published → Sport,"[""tm_rc_nz_published_sport""]"
291,Foundations of Transport [291],Bailey Hayes,foundations of transport 291,bailey hayes,Books → Rare & collectable → NZ published → Transport,"[""tm_rc_nz_published_transport""]"
292,Foundations of War & military [292],Logan Foster,foundations of war military 292,logan foster,Books → Rare & collectable → NZ published → War & military,"[""tm_rc_nz_published_war_military""]"
293,The Complete 1950 - today Handbook [293],Alex Scott,the complete 1950 today handbook 293,alex scott,Books → Rare & collectable → Other → 1950 - today,"[""tm_rc_other_1950_today""]"
294,Pre 1950 in Context [294],Morgan Bishop,pre 1950 in context 294,morgan bishop,Books → Rare & collectable → Other → Pre 1950,"[""tm_rc_other_pre_1950""]"
295,Accounting: A Practical Guide [295],Bailey Clark,accounting a practical guide 295,bailey clark,Books → Teaching resources & education → Accounting,"[""tm_tre_accounting""]"
296,The Complete Architecture & design Handbook [296],Riley Sinclair,the complete architecture design handbook 296,riley sinclair,Books → Teaching resources & education → Architecture & design,"[""tm_tre_architecture_design""]"
297,Modern College study guides [297],Taylor Hayes,modern college study guides 297,taylor hayes,Books → Teaching resources & education → College study guides,"[""tm_tre_college_study_guides""]"
298,Modern Computing & info systems [298],Robin Hughes,modern computing info systems 298,robin hughes,Books → Teaching resources & education → Computing & info systems,"[""tm_tre_computing_info_systems""]"
299,Foundations of Economics [299],Harper Foster,foundations of economics 299,harper foster,Books → Teaching resources & education → Economics,"[""tm_tre_economics""]"
300,Modern Engineering [300],Riley Brooks,modern engineering 300,riley brooks,Books → Teaching resources & education → Engineering,"[""tm_tre_engineering""]"
301,Understanding Humanities & social science [301],Quinn Campbell,understanding humanities social science 301,quinn campbell,Books → Teaching resources & education → Humanities & social science,"[""tm_tre_humanities_social_science""]"
302,Understanding Law [302],Jordan Fletcher,understanding law 302,jordan fletcher,Books → Teaching resources & education → Law,"[""tm_tre_law""]"
303,A Field Guide to Management [303],Drew Hughes,a field guide to management 303,drew hughes,Books → Teaching resources & education → Management,"[""tm_tre_management""]"
304,Foundations of Marketing [304],Alex Bishop,foundations of marketing 304,alex bishop,Books → Teaching resources & education → Marketing,"[""tm_tre_marketing""]"
305,Foundations of Tm_Tre_Other [305],Cameron Walker,foundations of tm tre other 305,cameron walker,Books → Teaching resources & education → Other,"[""tm_tre_other""]"
306,Modern Science [306],Casey Brooks,modern science 306,casey brooks,Books → Teaching resources & education → Science,"[""tm_tre_science""]"
307,Modern Tm_Yaf_Ac [307],Avery Campbell,modern tm yaf ac 307,avery campbell,Books → Young adult fiction → Author A-C,"[""tm_yaf_ac""]"
308,A Field Guide to Tm_Yaf_Df [308],Logan Foster,a field guide to tm yaf df 308,logan foster,Books → Young adult fiction → Author D-F,"[""tm_yaf_df""]"
309,Tm_Yaf_Gi in Context [309],Riley Hughes,tm yaf gi in context 309,riley hughes,Books → Young adult fiction → Author G-I,"[""tm_yaf_gi""]"
310,Tm_Yaf_Jl in Context [310],Harper Carter,tm yaf jl in context 310,harper carter,Books → Young adult fiction → Author J-L,"[""tm_yaf_jl""]"
311,Tm_Yaf_Mo: Methods and Insights [311],Skyler Mitchell,tm yaf mo methods and insights 311,skyler mitchell,Books → Young adult fiction → Author M-O,"[""tm_yaf_mo""]"
312,A Field Guide to Tm_Yaf_Pr [312],Casey Reid,a field guide to tm yaf pr 312,casey reid,Books → Young adult fiction → Author P-R,"[""tm_yaf_pr""]"
313,Tm_Yaf_Su: A Practical Guide [313],Casey Turner,tm yaf su a practical guide 313,casey turner,Books → Young adult fiction → Author S-U,"[""tm_yaf_su""]"
314,The Complete Tm_Yaf_Vz Handbook [314],Logan Walsh,the complete tm yaf vz handbook 314,logan walsh,Books → Young adult fiction → Author V-Z,"[""tm_yaf_vz""]"
315,Modern Tm_Yaf_Other [315],Alex Hayes,modern tm yaf other 315,alex hayes,Books → Young adult fiction → Other,"[""tm_yaf_other""]"
